"candidate_id","source","original_split","group_id","split","split_policy","relative_image_path","relative_label_path","source_image_sha256","source_label_sha256","derived_image_sha256","derived_label_sha256","is_negative"
"CHVG4_test_006a82150c06","CHVG4","test","CHVG4_test_006a82150c06","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_006a82150c06.jpg","labels/test/CHVG4_test_006a82150c06.txt","d9b32d9af25ca02d72a4f7fac410af3fca6b1e7a39528f31c9b2e6b58f0b82dd","eba990ca24e55d1abd0e359aeb01dcdf38d8073dd1554d68e22df904c6663a04","d9b32d9af25ca02d72a4f7fac410af3fca6b1e7a39528f31c9b2e6b58f0b82dd","eba990ca24e55d1abd0e359aeb01dcdf38d8073dd1554d68e22df904c6663a04","false"
"CHVG4_test_00d0c438a389","CHVG4","test","NDG_0045","train","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/train/CHVG4_test_00d0c438a389.jpg","labels/train/CHVG4_test_00d0c438a389.txt","12bf927698ce1d3566a9716bd07a77a58c36a71fa7c4c37a612daf6e88b49ae8","0e36e9a00bda7dd859c52ed0742470ecae8ee892c2072ec66b313f2255007564","12bf927698ce1d3566a9716bd07a77a58c36a71fa7c4c37a612daf6e88b49ae8","0e36e9a00bda7dd859c52ed0742470ecae8ee892c2072ec66b313f2255007564","false"
"CHVG4_test_03f25f1e6c32","CHVG4","test","CHVG4_test_03f25f1e6c32","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_03f25f1e6c32.jpg","labels/test/CHVG4_test_03f25f1e6c32.txt","62e7559e5786e2207b9775ddc01859aeec0c8d4b98cfdcefc7a0c171edb71142","4b3145cb8357faf7508dc1479dc788984d5e15b6501d2f9fe093227fbaffba9d","62e7559e5786e2207b9775ddc01859aeec0c8d4b98cfdcefc7a0c171edb71142","4b3145cb8357faf7508dc1479dc788984d5e15b6501d2f9fe093227fbaffba9d","false"
"CHVG4_test_0660f2c99522","CHVG4","test","CHVG4_test_0660f2c99522","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_0660f2c99522.jpg","labels/test/CHVG4_test_0660f2c99522.txt","271d14237aab511909e385e5a2bc5af0142e186550798b6757dc4a32a289d0fe","d8935ef60216a04e31145c29553ae476de67a249199b571100d4b0a00b214dc1","271d14237aab511909e385e5a2bc5af0142e186550798b6757dc4a32a289d0fe","d8935ef60216a04e31145c29553ae476de67a249199b571100d4b0a00b214dc1","false"
"CHVG4_test_066af99a014d","CHVG4","test","CHVG4_test_066af99a014d","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_066af99a014d.jpg","labels/test/CHVG4_test_066af99a014d.txt","0050d436c827b80fb313436e91b3e0c4332f3166ae98d05704951a5c21de6e5a","aebed06f4c0cfbea485399f815b6c0b3d4a419489837089f3809ed9a20a67048","0050d436c827b80fb313436e91b3e0c4332f3166ae98d05704951a5c21de6e5a","aebed06f4c0cfbea485399f815b6c0b3d4a419489837089f3809ed9a20a67048","false"
"CHVG4_test_07c29088e952","CHVG4","test","CHVG4_test_07c29088e952","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_07c29088e952.jpg","labels/test/CHVG4_test_07c29088e952.txt","76c71aa43b4469e39f4ae13e7060260297545c02fa484b01eabbeec30509b573","cb3f71ed97f75768c4b0ff15ab1e47358faa0ac17714db3da249b60601ba873f","76c71aa43b4469e39f4ae13e7060260297545c02fa484b01eabbeec30509b573","cb3f71ed97f75768c4b0ff15ab1e47358faa0ac17714db3da249b60601ba873f","false"
"CHVG4_test_08e41b1c43d6","CHVG4","test","CHVG4_test_08e41b1c43d6","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_08e41b1c43d6.jpg","labels/test/CHVG4_test_08e41b1c43d6.txt","5efd68ed6b17fcea898352421317a202eff0447c20d89465a3b5c5dda2bbf8ac","4687ba9feea678feeed52564edec4c89adc6c816f1e091e1699db88352eff6ec","5efd68ed6b17fcea898352421317a202eff0447c20d89465a3b5c5dda2bbf8ac","4687ba9feea678feeed52564edec4c89adc6c816f1e091e1699db88352eff6ec","false"
"CHVG4_test_08fbf50a677f","CHVG4","test","CHVG4_test_08fbf50a677f","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_08fbf50a677f.jpg","labels/test/CHVG4_test_08fbf50a677f.txt","14d6736d5301ac20b68a699657972da5006967e6760d7d76ef72ae872b9b6655","57ae45b2546b99af5f188a527215a703582848339041db99771ec9a1193249bf","14d6736d5301ac20b68a699657972da5006967e6760d7d76ef72ae872b9b6655","57ae45b2546b99af5f188a527215a703582848339041db99771ec9a1193249bf","false"
"CHVG4_test_0b2fa671b336","CHVG4","test","CHVG4_test_0b2fa671b336","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_0b2fa671b336.jpg","labels/test/CHVG4_test_0b2fa671b336.txt","6e314f96c5c22d1ab2b35d1c4bdc3df3e6e48cca83cb2b7796261fc5e9ec1d72","b56e16a2fb41273b18e8442cf0f221110667baec628b344928437fcabc146245","6e314f96c5c22d1ab2b35d1c4bdc3df3e6e48cca83cb2b7796261fc5e9ec1d72","b56e16a2fb41273b18e8442cf0f221110667baec628b344928437fcabc146245","false"
"CHVG4_test_0bc30505f4a5","CHVG4","test","CHVG4_test_0bc30505f4a5","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_0bc30505f4a5.jpg","labels/test/CHVG4_test_0bc30505f4a5.txt","fd11887da768649812a770f689ede3fb491a35533fab4c40e16cfeb59810985b","a8d890a45ad1bc271f20ffe3d53c095306b5fddb905aaf760ae7346a9cffc394","fd11887da768649812a770f689ede3fb491a35533fab4c40e16cfeb59810985b","a8d890a45ad1bc271f20ffe3d53c095306b5fddb905aaf760ae7346a9cffc394","false"
"CHVG4_test_0c5fb02db449","CHVG4","test","CHVG4_test_0c5fb02db449","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_0c5fb02db449.jpg","labels/test/CHVG4_test_0c5fb02db449.txt","2d96bf02f6344fcd45b1c157934d3e91b559b6ef26ae746935ca9e14c74d49be","46716347410d2458149e2edae31f3d98e52c27811c95174b480d466c5e66363b","2d96bf02f6344fcd45b1c157934d3e91b559b6ef26ae746935ca9e14c74d49be","46716347410d2458149e2edae31f3d98e52c27811c95174b480d466c5e66363b","false"
"CHVG4_test_10d56c286654","CHVG4","test","CHVG4_test_10d56c286654","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_10d56c286654.jpg","labels/test/CHVG4_test_10d56c286654.txt","7de4f53b0e009e1c0b3adb5e67725f365ce78d60ed2031b526341c48696a248b","af3249b7aea7ed1148c6e63403dbdb401673d1bb75ed4726b155f29b21b9a9ff","7de4f53b0e009e1c0b3adb5e67725f365ce78d60ed2031b526341c48696a248b","af3249b7aea7ed1148c6e63403dbdb401673d1bb75ed4726b155f29b21b9a9ff","false"
"CHVG4_test_12e3d7ca7072","CHVG4","test","CHVG4_test_12e3d7ca7072","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_12e3d7ca7072.jpg","labels/test/CHVG4_test_12e3d7ca7072.txt","b6f508db643a5b5f1b0f627fce4d3c2eedf09c38cce2990f0fedaf9712d04f98","0e069553944cd9c37435c63dfc90daffc3cb82bb0dbf0a799034daa4220784bc","b6f508db643a5b5f1b0f627fce4d3c2eedf09c38cce2990f0fedaf9712d04f98","0e069553944cd9c37435c63dfc90daffc3cb82bb0dbf0a799034daa4220784bc","false"
"CHVG4_test_18c28042654d","CHVG4","test","CHVG4_test_18c28042654d","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_18c28042654d.jpg","labels/test/CHVG4_test_18c28042654d.txt","8657e49bbf93b7706a7d5f777f64038e2985f4a2b9561ff50d180d83379b61dd","f1de733afaaf5eb99f8f2f56bae5389fcf5256bbf76eac33c69e4d3a2d1380a6","8657e49bbf93b7706a7d5f777f64038e2985f4a2b9561ff50d180d83379b61dd","f1de733afaaf5eb99f8f2f56bae5389fcf5256bbf76eac33c69e4d3a2d1380a6","false"
"CHVG4_test_18ce34e6900b","CHVG4","test","CHVG4_test_18ce34e6900b","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_18ce34e6900b.jpg","labels/test/CHVG4_test_18ce34e6900b.txt","ff0e8ca850783265e96883506236bde87c951430b2867d6d9153e77c3706e4aa","74422b7c42be945ede878505c8f3446e689ede5024f92fa8db36d954ff7f5c8c","ff0e8ca850783265e96883506236bde87c951430b2867d6d9153e77c3706e4aa","74422b7c42be945ede878505c8f3446e689ede5024f92fa8db36d954ff7f5c8c","false"
"CHVG4_test_18df0524e4da","CHVG4","test","CHVG4_test_18df0524e4da","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_18df0524e4da.jpg","labels/test/CHVG4_test_18df0524e4da.txt","073e384ac76f3e3db3c76f16844e73199df8f52e0d6b41733827d16b89d704e7","6da027ebd598f05dcaa93c15cb452b966611c1591b4ac55522ee9d7587ef9720","073e384ac76f3e3db3c76f16844e73199df8f52e0d6b41733827d16b89d704e7","6da027ebd598f05dcaa93c15cb452b966611c1591b4ac55522ee9d7587ef9720","false"
"CHVG4_test_1bc82ac5d00c","CHVG4","test","CHVG4_test_1bc82ac5d00c","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_1bc82ac5d00c.jpg","labels/test/CHVG4_test_1bc82ac5d00c.txt","56e70c77199d9c82c340a1c056b37361cb7e2570489c0ca390a5e980365e00a2","95d70dc6c122bc0d1ea709128a2ec9a44c24d0ed356ae01d5713addece97dfd8","56e70c77199d9c82c340a1c056b37361cb7e2570489c0ca390a5e980365e00a2","95d70dc6c122bc0d1ea709128a2ec9a44c24d0ed356ae01d5713addece97dfd8","false"
"CHVG4_test_1d89207afb01","CHVG4","test","CHVG4_test_1d89207afb01","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_1d89207afb01.jpg","labels/test/CHVG4_test_1d89207afb01.txt","924777b9972bfb14d17524a35036adbff885e55aba7938b92928090093cdeaf4","4c8fa8e7bd4cd2cd13b4ec998c9feee5420433cf086a9515a22a1c0d8aceb0ed","924777b9972bfb14d17524a35036adbff885e55aba7938b92928090093cdeaf4","4c8fa8e7bd4cd2cd13b4ec998c9feee5420433cf086a9515a22a1c0d8aceb0ed","false"
"CHVG4_test_1f8a9839102f","CHVG4","test","CHVG4_test_1f8a9839102f","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_1f8a9839102f.jpg","labels/test/CHVG4_test_1f8a9839102f.txt","c983c22184e5f3b183f9cce306c64bce5326af320f0fc0faa081e35b72af55c6","113d5b27babbe5ae8d8cb802a9591dc42ef552528c0c721dbcdcfd034cff7736","c983c22184e5f3b183f9cce306c64bce5326af320f0fc0faa081e35b72af55c6","113d5b27babbe5ae8d8cb802a9591dc42ef552528c0c721dbcdcfd034cff7736","false"
"CHVG4_test_2022b7ad1aab","CHVG4","test","CHVG4_test_2022b7ad1aab","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_2022b7ad1aab.jpg","labels/test/CHVG4_test_2022b7ad1aab.txt","3a00d1e9088dfaba3b81d9885161162491e13415557e19579d13366011ab051a","f4ca9b9469e7e9dd2727e3f484daaf32541967d53f2eb5a4dfa59c0251f3709f","3a00d1e9088dfaba3b81d9885161162491e13415557e19579d13366011ab051a","f4ca9b9469e7e9dd2727e3f484daaf32541967d53f2eb5a4dfa59c0251f3709f","false"
"CHVG4_test_2152ef59bb28","CHVG4","test","CHVG4_test_2152ef59bb28","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_2152ef59bb28.jpg","labels/test/CHVG4_test_2152ef59bb28.txt","5060b53ed27027715495cd81be27bd311c99a224e46ef665f25a0f4693aa6d20","dcdc63e45ff2970dfcbcf577cb4061422a695625857982a588035e69c8cfa0c0","5060b53ed27027715495cd81be27bd311c99a224e46ef665f25a0f4693aa6d20","dcdc63e45ff2970dfcbcf577cb4061422a695625857982a588035e69c8cfa0c0","false"
"CHVG4_test_25356ea8a4bf","CHVG4","test","CHVG4_test_25356ea8a4bf","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_25356ea8a4bf.jpg","labels/test/CHVG4_test_25356ea8a4bf.txt","22e3eeb8644b15d177476bdd0d78b7617cf92c898c9c2d68fef52a9051f530f5","7484d03447f9f4489911e250b77fcbc503b8a20ea5748efa4c0efbb344e69927","22e3eeb8644b15d177476bdd0d78b7617cf92c898c9c2d68fef52a9051f530f5","7484d03447f9f4489911e250b77fcbc503b8a20ea5748efa4c0efbb344e69927","false"
"CHVG4_test_265bb057ee6a","CHVG4","test","CHVG4_test_265bb057ee6a","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_265bb057ee6a.jpg","labels/test/CHVG4_test_265bb057ee6a.txt","f0ddb5b18ca3f6ee8f260b7c983cc8f6e3ceddbc8f39114766a16be1a84e4195","3a8b622e59339f2bad0422575bd2d69ac893b7cd9a043666575937c254160dac","f0ddb5b18ca3f6ee8f260b7c983cc8f6e3ceddbc8f39114766a16be1a84e4195","3a8b622e59339f2bad0422575bd2d69ac893b7cd9a043666575937c254160dac","false"
"CHVG4_test_274e2c7ea317","CHVG4","test","CHVG4_test_274e2c7ea317","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_274e2c7ea317.jpg","labels/test/CHVG4_test_274e2c7ea317.txt","90c01edeef3dddbf88c0a4657bdc57f631ec485f89f6fbb8ad2be59283c30875","b3d2cdd23f12f78c172e0b6c235cd1a3319ce3a4a86f82a1dbd9e25bad3f010e","90c01edeef3dddbf88c0a4657bdc57f631ec485f89f6fbb8ad2be59283c30875","b3d2cdd23f12f78c172e0b6c235cd1a3319ce3a4a86f82a1dbd9e25bad3f010e","false"
"CHVG4_test_27a59d94b9a9","CHVG4","test","CHVG4_test_27a59d94b9a9","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_27a59d94b9a9.jpg","labels/test/CHVG4_test_27a59d94b9a9.txt","48e10fc2df3a85cb088a15540ea8b5e8ed1f8f2aa7b3e6530ca0c3f6594b65d9","4d1d8ca2fd0519e0c468ae7c6f3f095edc5f4429d036e8cdbd02b0498ccae995","48e10fc2df3a85cb088a15540ea8b5e8ed1f8f2aa7b3e6530ca0c3f6594b65d9","4d1d8ca2fd0519e0c468ae7c6f3f095edc5f4429d036e8cdbd02b0498ccae995","false"
"CHVG4_test_2a7668bdfc2b","CHVG4","test","CHVG4_test_2a7668bdfc2b","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_2a7668bdfc2b.jpg","labels/test/CHVG4_test_2a7668bdfc2b.txt","58a18158799e9a11607e42e1f0c226494f75b09023795ea61830539b74aec992","9550dd4acc2e62f0456bc6c29d123d55fa1dd286c61de1f6ef41e98c6dd9078d","58a18158799e9a11607e42e1f0c226494f75b09023795ea61830539b74aec992","9550dd4acc2e62f0456bc6c29d123d55fa1dd286c61de1f6ef41e98c6dd9078d","false"
"CHVG4_test_2c09ff07816b","CHVG4","test","CHVG4_test_2c09ff07816b","test","AUTHORITATIVE_SPLIT_WITH_CROSS_SPLIT_GROUP_CONSOLIDATION","images/test/CHVG4_test_2c09ff07816b.jpg","labels/test/CHVG4_test_2c09ff07816b.txt","36e5dabec6d953cd48d062f8de702c1e1ea589790e35d919482604164de0fe50","2c76af541c5abc05987e91b2afcbc59683f29c3e22fca2a40624a1794b66615f","36e5dabec6d953cd48d062f8de702c1e1ea589790e35d919482604164de0fe50","2c76af541c5abc05987e91b2afcbc59683f29c3e22fca2a40624a1794b66615f","false"
