filename,split,sha256,person,head,helmet,vest,glass
000004_jpg.rf.2d177cd36746c12139d9b38760b9a822.jpg,train,8c8562f45ebb9706fcfac8a6b32af523deec91ab4a303a11151a152451f9a821,5,6,0,0,0
000006_jpg.rf.e1f54127f2f52fbdbd97d7d474834a34.jpg,val,d7dca5befc9a39cd9833b7c6d04b643eafde0b4331fb0dfbb7adacb35ccd29eb,4,5,0,0,0
000019_jpg.rf.294e5c78c41809a1c1104a0f1fbec51e.jpg,train,a5434b7ceae28b36efbba9161b8dec0e79adbece2110cd03974675dbfd9c048e,5,5,0,0,0
000030_jpg.rf.4654b7b9c2a0083b65a5816981db46d1.jpg,train,b0624d382cf7200884fc69536bf2180ecb6d982972af8601ee547d0ededdee97,8,9,0,0,0
000091_jpg.rf.6cc8b01c316b665808ab44fd616c926d.jpg,train,95fea0dbfd99aef96a2cfb931fb94ad88f5ff43ee63386f738c78723ed681e8b,3,6,0,0,0
000121_jpg.rf.ec7216b5cb7bb17f4a9be32ff531487b.jpg,train,045a40bf6b93c6baaeba4d7bc36114494a136de29efe3e84f9b080340cf23aef,5,6,0,0,0
000132_jpg.rf.3da694674c2c02bf6b6128e154321a4a.jpg,train,daf31ba642dfe9e951c9d72afc1a74d199db7ebe08c9c9a0a1dc94b653371561,5,10,0,0,0
000150_jpg.rf.d6874caba08b6b1c4814df7314ea915f.jpg,train,71fc367fb92d1e26ff3d24e74e9df3cfdbbc365b704c9d400841869639bd942c,6,6,0,0,0
000154_jpg.rf.0f0f1f1b569379be1960a1f8ea1dd6af.jpg,train,7dcbc08798f424ffa0f76375eaefab4bdf584abc3bd6b0714747251e5be291e3,4,4,0,0,0
000196_jpg.rf.8a2dda67ffd14d28c493344d1f4a9692.jpg,train,f90d66b7ce9de2e31efa4c5c4711a44e7400410a1384a090a68633ea852f1639,7,9,0,0,0
000207_jpg.rf.ef2c7275a650f49330d4a0f280d3c8e3.jpg,train,2d750e387c57db8af858eb94c8acd158cd33219cade32a5fb86533287f00e816,5,7,0,0,0
000218_jpg.rf.b249db7bfea619264421ec76f84086f3.jpg,train,0abadaaa1ac53a4a7d29c83edfca9386209386b8b5a55ff352cabc7a28008af0,7,8,0,0,0
000221_jpg.rf.736bbaa15e56b4a8468f403f0c6a8887.jpg,train,8e6bb64b1b24901907407d98c62e5d25b4f0d24f23d0cff73c9d8847a3d772ec,6,7,0,0,0
000240_jpg.rf.9820b552c95ff061accfc788c61866ed.jpg,train,d98811ea5ebb11005a8d83c8c862e31f3e14d26019e3f55f7a5601e45d7e0fe4,0,0,1,0,1
000242_jpg.rf.85499b328b0fd4315dd8981f500d5857.jpg,train,972ccefd187490073396c970cbf200b016cd53e69b22fcfadd829e6593584149,5,5,0,0,0
000245_jpg.rf.b022ce7a0399635c9876c8af684816dd.jpg,train,2db16e426355d7c7c2aa9b3969967145c79cbd5f7c7845e4ab836c92c585d5f0,3,4,0,0,0
000253_jpg.rf.d2879eef456155b20cca2cc67f08be70.jpg,train,b2ecbbaabdc99baf115535c7a2de413e6a0f42782c5940e86db5ced99e7c9089,7,8,0,0,0
000371_jpg.rf.9370e1c3a62eb82276c6b7e2675a4a11.jpg,train,3d51f09ce6d979576c8c67ba95e4235c7fe88bfc759df85823a05b78c975d866,5,8,0,0,0
000473_jpg.rf.fa7c6af7ba8672e321960ca9a14fd772.jpg,train,18d2e819c2c91f8eff43774a3d5b923cb72921eb15658e8ac7082fe4fba51a60,5,8,0,0,0
000488_jpg.rf.7de538484d8c036ef479984656904443.jpg,train,0ad9c3f9ca5f13586e83f506d2928b4e7f2f198b8f295872098407f53e3b8358,1,1,0,0,0
000528_jpg.rf.7005f8dfd5989f9479995d6fbe34fe18.jpg,train,46486eec60216a2c2624f6251d1ebc6da62b2cb9bc90c269b4962fd3871849b7,8,12,0,0,0
000531_jpg.rf.474501e091a3606cbe6019db18e5d985.jpg,train,77796ac2f1cdfabc0d601a17359e4b39c974c2626ad3d7bbbc8ef0a3975f26fa,8,11,0,0,0
000540_jpg.rf.8ae5d8b641c393a9b079c6cc157a856e.jpg,val,4bd097d19adbdc0c6948ad2aa25ce84565837c946b4f8e1e3e4dda12e7c92a30,4,4,0,0,0
000570_jpg.rf.ce23957227b5d50ad0a2188793051894.jpg,test,6849a1b88edb9d8cebfce511aab26bac72017c4567f290339534227170b7c00b,2,5,0,0,0
000573_jpg.rf.8b16af17b32cc083c34228a71fb7be68.jpg,train,1fea7d67dc41f325eda2ad62613d4fae6156648532d85cd61ff041aa8672f77e,6,6,0,0,0
000605_jpg.rf.5b54eece156366b648de831c36def1d7.jpg,test,a806ffd3aea9464f83de3105ef1fbaa6f0cdbd6068934d3bfe93cfeba7146454,7,9,0,0,0
000615_jpg.rf.de9b87ccc0395bb1f8d5f921386bb843.jpg,test,8e641cbaf54c7f90725a0b227b94595a21c4507e1b280fe59b693ca04dd2de94,5,6,0,0,0
000638_jpg.rf.b5977f4742a3c68dbd150c1bd6763424.jpg,train,6f49d3093ff97eda47cd8112d1242861ed232b1aae2a45ef94c4ea6cd721a479,8,8,0,0,0
000653_jpg.rf.f942ba4b7bb95832215b4fb3cfe38d6b.jpg,val,e86e1a37852224a2a7436d13fa2520d430083f89f44b5b15b8a3a22d71605990,5,7,0,0,0
000662_jpg.rf.9632dedae2be494988833283de986396.jpg,train,6349518f480c3ec505676ec1d037bcf740c359f6005c1f85f8f73ee15a776d81,3,3,0,0,0
000671_jpg.rf.0700d733e95f53bac15a8ba7e7a3d8b0.jpg,train,5aa14a2e30d6211414f36f180967c252cc843ca46df063092cdcf5b4a19bb2f0,6,8,0,0,0
000682_jpg.rf.08a1b35b5ff359580ee9e9095c067363.jpg,train,e1abe680928ee8055e9130221813acab143604d7401b4c02964fdbd6599377f0,2,2,0,0,0
000683_jpg.rf.90430f3ca7a4133f923a53ad094088b0.jpg,train,e402aae28dd17b093bb606a7d1d7ae89128e804446da6fe89f5b1375b1b0ac93,1,1,0,0,0
000759_jpg.rf.fa65e9be6c6bae44ddb43cee4723a125.jpg,val,b5a86de25d619bcbdad135b6cc6f10e36d19c2c73489e0fe8f9bff9f6a3da3ca,8,15,0,0,0
000783_jpg.rf.1eb646c2e3a31f74403136a55dcfbf79.jpg,train,bb91771b753a9c7722b3e80c6311a080862837b04bd382944750a20b0cb03ecb,5,5,0,0,0
000799_jpg.rf.4efffe44667cb9825f1e227fdb64c88f.jpg,train,8c8806c470d455a3c2fed33302858ba4957a3e1456d6f92e54ee2c03f4b12a92,6,7,0,0,0
